ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
481,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.3925951383428,-6.38792071643949
482,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.3925778450266,-6.38794962114534
483,Blanchardstown Shopping Centre (Red),BLANCHARDSTOWN SHOPPING CENTRE ACCESS,,4, ,TRUE,TRUE,TRUE,Shopping Centre,53.3925575823666,-6.38797901094044
484,Saint Patrick's School,Luttrellstown Avenue,,1, , ,TRUE, ,"Primary School, Community Centre",53.3688972455672,-6.38694816200027
485,Riverdale Community College,BLANCHARDSTOWN ROAD NORTH,,2, , ,TRUE, ,Secondary School,53.4013895932143,-6.37960559146017
486,Riverdale Community College,BLANCHARDSTOWN ROAD NORTH,,2, , ,TRUE, ,Secondary School,53.4013862596348,-6.37954692424286
487,Roselawn Shopping Centre,Roselawn Road,,4,TRUE,TRUE,TRUE, ,"Chemist, Newsagents, Supermarket, Hairdresser, Cafe, Shopping Centre, Pub",53.3829785363244,-6.38164838572903
488,Roselawn Shopping Centre,Roselawn Road,,4,TRUE,TRUE,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Hairdresser, Cafe, Shopping Centre, Pub",53.383012545911,-6.38166749658106
489,Roselawn Shopping Centre,Roselawn Road,,4,TRUE,TRUE,TRUE,TRUE,"Chemist, Newsagents, Supermarket, Hairdresser, Cafe, Shopping Centre, Pub",53.3830452816045,-6.3816839333676
490,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE,TRUE,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.3864920933015,-6.37864254579888
491,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE, ,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.3865082352148,-6.37868235390214
492,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE, ,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.3865243137829,-6.37871372743376
493,Superquinn Carpark,RAYMOR PARK,,4,TRUE,TRUE,TRUE, ,"Chemist, Bookmakers, Newsagents, Supermarket, Post Office, Hairdresser",53.3865380430233,-6.37874352150604
494,Outside Blanchardstown Youth Reach Centre,Main Street,,1,TRUE,TRUE,TRUE, ,Community Centre,53.3876910759447,-6.37918021989372
